"sample_id","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","data_processing.1","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_zip.postal_code","contact_country","supplementary_file","data_row_count","foetal.age.ch1","in.vitro.oxygen.condition.ch1","maternal.injections.ch1","maternal.oxygen.status.ch1","tissue.ch1","condition"
"GSM2300551","Plasma_Normoxia_Saline_rep1","GSM2300551","Public on Aug 22 2017","Sep 01 2016","Aug 23 2017","RNA","1","foetal plasma at E20, maternal normoxia, maternal saline injection","Rattus norvegicus","foetal age: E20","tissue: Plasma","maternal oxygen status: Normoxia","maternal injections: Saline","in vitro oxygen condition: N/A","On gestational day 15 of pregnancy the rats were injected ntravenously with saline or 125 μM MitoQ-nanoparticles and exposed for the next 6 days to 21% or 11% oxygen.","Three-month-old female Sprague-Dawley rats were maintained on ad libitum standard rat chow and tap water in a 10:14-h light-dark cycle and acclimatised before breeding. All protocols were approved by the University of Alberta Health Sciences Animal Policy and Welfare Committee, in accordance with the Canadian Council on Animal Care guidelines.","total RNA","Foetal blood was collected into EDTA-containing tubes, pooled per litter, and plasma was extracted. Placentae were isolated, placed into cell culture medium and incubated at 2, 8 or 21% oxygen for 24 h. Total RNA was extracted from 100 μl foetal plasma using the Qiagen miRNeasy Serum/Plasma Kit or from 200 μl conditioned media using the Qiagen miRNeasy Mini Kit.","biotin","Samples were labelled using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","10116","Samples were hybridised using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","Samples were analysed using the NanoString nCounter Analysis System (Gen2). See Gen2 Prep Station User Manual.","Plasma_NS_v_HS.txt; Plasma_NS_v_NM.txt","Raw output files were converted into lists of counts. To compare two groups, the respective raw counts were passed into RUVSeq for normalisation and removal of unwanted variation. Adjusted counts were then analysed for differential expression analysis using edgeR.","Normalised counts can be found in attached text files, instead of in the matrix table, as specified in the 'Description' column under the 'Samples' heading. Values are Reporter Probe signal intensities captured with the nCounter Analysis System and normalised using RUVSeq.","GPL19924","Hannah,,Scott","hs9350@my.bristol.ac.uk","UK Dementia Research Institute","Cardiff University","Hadyn Ellis Building, Maindy Road","Cardiff","CF24 4HQ","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2300nnn/GSM2300551/suppl/GSM2300551_Sample01.RCC.gz","0","E20","N/A","Saline","Normoxia","Plasma",NA
"GSM2300552","Plasma_Normoxia_Saline_rep2","GSM2300552","Public on Aug 22 2017","Sep 01 2016","Aug 23 2017","RNA","1","foetal plasma at E20, maternal normoxia, maternal saline injection","Rattus norvegicus","foetal age: E20","tissue: Plasma","maternal oxygen status: Normoxia","maternal injections: Saline","in vitro oxygen condition: N/A","On gestational day 15 of pregnancy the rats were injected ntravenously with saline or 125 μM MitoQ-nanoparticles and exposed for the next 6 days to 21% or 11% oxygen.","Three-month-old female Sprague-Dawley rats were maintained on ad libitum standard rat chow and tap water in a 10:14-h light-dark cycle and acclimatised before breeding. All protocols were approved by the University of Alberta Health Sciences Animal Policy and Welfare Committee, in accordance with the Canadian Council on Animal Care guidelines.","total RNA","Foetal blood was collected into EDTA-containing tubes, pooled per litter, and plasma was extracted. Placentae were isolated, placed into cell culture medium and incubated at 2, 8 or 21% oxygen for 24 h. Total RNA was extracted from 100 μl foetal plasma using the Qiagen miRNeasy Serum/Plasma Kit or from 200 μl conditioned media using the Qiagen miRNeasy Mini Kit.","biotin","Samples were labelled using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","10116","Samples were hybridised using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","Samples were analysed using the NanoString nCounter Analysis System (Gen2). See Gen2 Prep Station User Manual.","Plasma_NS_v_HS.txt; Plasma_NS_v_NM.txt","Raw output files were converted into lists of counts. To compare two groups, the respective raw counts were passed into RUVSeq for normalisation and removal of unwanted variation. Adjusted counts were then analysed for differential expression analysis using edgeR.","Normalised counts can be found in attached text files, instead of in the matrix table, as specified in the 'Description' column under the 'Samples' heading. Values are Reporter Probe signal intensities captured with the nCounter Analysis System and normalised using RUVSeq.","GPL19924","Hannah,,Scott","hs9350@my.bristol.ac.uk","UK Dementia Research Institute","Cardiff University","Hadyn Ellis Building, Maindy Road","Cardiff","CF24 4HQ","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2300nnn/GSM2300552/suppl/GSM2300552_Sample02.RCC.gz","0","E20","N/A","Saline","Normoxia","Plasma",NA
"GSM2300553","Plasma_Normoxia_Saline_rep3","GSM2300553","Public on Aug 22 2017","Sep 01 2016","Aug 23 2017","RNA","1","foetal plasma at E20, maternal normoxia, maternal saline injection","Rattus norvegicus","foetal age: E20","tissue: Plasma","maternal oxygen status: Normoxia","maternal injections: Saline","in vitro oxygen condition: N/A","On gestational day 15 of pregnancy the rats were injected ntravenously with saline or 125 μM MitoQ-nanoparticles and exposed for the next 6 days to 21% or 11% oxygen.","Three-month-old female Sprague-Dawley rats were maintained on ad libitum standard rat chow and tap water in a 10:14-h light-dark cycle and acclimatised before breeding. All protocols were approved by the University of Alberta Health Sciences Animal Policy and Welfare Committee, in accordance with the Canadian Council on Animal Care guidelines.","total RNA","Foetal blood was collected into EDTA-containing tubes, pooled per litter, and plasma was extracted. Placentae were isolated, placed into cell culture medium and incubated at 2, 8 or 21% oxygen for 24 h. Total RNA was extracted from 100 μl foetal plasma using the Qiagen miRNeasy Serum/Plasma Kit or from 200 μl conditioned media using the Qiagen miRNeasy Mini Kit.","biotin","Samples were labelled using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","10116","Samples were hybridised using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","Samples were analysed using the NanoString nCounter Analysis System (Gen2). See Gen2 Prep Station User Manual.","Plasma_NS_v_HS.txt; Plasma_NS_v_NM.txt","Raw output files were converted into lists of counts. To compare two groups, the respective raw counts were passed into RUVSeq for normalisation and removal of unwanted variation. Adjusted counts were then analysed for differential expression analysis using edgeR.","Normalised counts can be found in attached text files, instead of in the matrix table, as specified in the 'Description' column under the 'Samples' heading. Values are Reporter Probe signal intensities captured with the nCounter Analysis System and normalised using RUVSeq.","GPL19924","Hannah,,Scott","hs9350@my.bristol.ac.uk","UK Dementia Research Institute","Cardiff University","Hadyn Ellis Building, Maindy Road","Cardiff","CF24 4HQ","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2300nnn/GSM2300553/suppl/GSM2300553_Sample03.RCC.gz","0","E20","N/A","Saline","Normoxia","Plasma",NA
"GSM2300554","Plasma_Normoxia_Saline_rep4","GSM2300554","Public on Aug 22 2017","Sep 01 2016","Aug 23 2017","RNA","1","foetal plasma at E20, maternal normoxia, maternal saline injection","Rattus norvegicus","foetal age: E20","tissue: Plasma","maternal oxygen status: Normoxia","maternal injections: Saline","in vitro oxygen condition: N/A","On gestational day 15 of pregnancy the rats were injected ntravenously with saline or 125 μM MitoQ-nanoparticles and exposed for the next 6 days to 21% or 11% oxygen.","Three-month-old female Sprague-Dawley rats were maintained on ad libitum standard rat chow and tap water in a 10:14-h light-dark cycle and acclimatised before breeding. All protocols were approved by the University of Alberta Health Sciences Animal Policy and Welfare Committee, in accordance with the Canadian Council on Animal Care guidelines.","total RNA","Foetal blood was collected into EDTA-containing tubes, pooled per litter, and plasma was extracted. Placentae were isolated, placed into cell culture medium and incubated at 2, 8 or 21% oxygen for 24 h. Total RNA was extracted from 100 μl foetal plasma using the Qiagen miRNeasy Serum/Plasma Kit or from 200 μl conditioned media using the Qiagen miRNeasy Mini Kit.","biotin","Samples were labelled using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","10116","Samples were hybridised using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","Samples were analysed using the NanoString nCounter Analysis System (Gen2). See Gen2 Prep Station User Manual.","Plasma_NS_v_HS.txt; Plasma_NS_v_NM.txt","Raw output files were converted into lists of counts. To compare two groups, the respective raw counts were passed into RUVSeq for normalisation and removal of unwanted variation. Adjusted counts were then analysed for differential expression analysis using edgeR.","Normalised counts can be found in attached text files, instead of in the matrix table, as specified in the 'Description' column under the 'Samples' heading. Values are Reporter Probe signal intensities captured with the nCounter Analysis System and normalised using RUVSeq.","GPL19924","Hannah,,Scott","hs9350@my.bristol.ac.uk","UK Dementia Research Institute","Cardiff University","Hadyn Ellis Building, Maindy Road","Cardiff","CF24 4HQ","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2300nnn/GSM2300554/suppl/GSM2300554_Sample04.RCC.gz","0","E20","N/A","Saline","Normoxia","Plasma",NA
"GSM2300555","Plasma_Hypoxia_Saline_rep1","GSM2300555","Public on Aug 22 2017","Sep 01 2016","Aug 23 2017","RNA","1","foetal plasma at E20, maternal hypoxia, maternal saline injection","Rattus norvegicus","foetal age: E20","tissue: Plasma","maternal oxygen status: Hypoxia","maternal injections: Saline","in vitro oxygen condition: N/A","On gestational day 15 of pregnancy the rats were injected ntravenously with saline or 125 μM MitoQ-nanoparticles and exposed for the next 6 days to 21% or 11% oxygen.","Three-month-old female Sprague-Dawley rats were maintained on ad libitum standard rat chow and tap water in a 10:14-h light-dark cycle and acclimatised before breeding. All protocols were approved by the University of Alberta Health Sciences Animal Policy and Welfare Committee, in accordance with the Canadian Council on Animal Care guidelines.","total RNA","Foetal blood was collected into EDTA-containing tubes, pooled per litter, and plasma was extracted. Placentae were isolated, placed into cell culture medium and incubated at 2, 8 or 21% oxygen for 24 h. Total RNA was extracted from 100 μl foetal plasma using the Qiagen miRNeasy Serum/Plasma Kit or from 200 μl conditioned media using the Qiagen miRNeasy Mini Kit.","biotin","Samples were labelled using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","10116","Samples were hybridised using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","Samples were analysed using the NanoString nCounter Analysis System (Gen2). See Gen2 Prep Station User Manual.","Plasma_NS_v_HS.txt; Plasma_HS_v_HM.txt","Raw output files were converted into lists of counts. To compare two groups, the respective raw counts were passed into RUVSeq for normalisation and removal of unwanted variation. Adjusted counts were then analysed for differential expression analysis using edgeR.","Normalised counts can be found in attached text files, instead of in the matrix table, as specified in the 'Description' column under the 'Samples' heading. Values are Reporter Probe signal intensities captured with the nCounter Analysis System and normalised using RUVSeq.","GPL19924","Hannah,,Scott","hs9350@my.bristol.ac.uk","UK Dementia Research Institute","Cardiff University","Hadyn Ellis Building, Maindy Road","Cardiff","CF24 4HQ","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2300nnn/GSM2300555/suppl/GSM2300555_Sample05.RCC.gz","0","E20","N/A","Saline","Hypoxia","Plasma",NA
"GSM2300556","Plasma_Hypoxia_Saline_rep2","GSM2300556","Public on Aug 22 2017","Sep 01 2016","Aug 23 2017","RNA","1","foetal plasma at E20, maternal hypoxia, maternal saline injection","Rattus norvegicus","foetal age: E20","tissue: Plasma","maternal oxygen status: Hypoxia","maternal injections: Saline","in vitro oxygen condition: N/A","On gestational day 15 of pregnancy the rats were injected ntravenously with saline or 125 μM MitoQ-nanoparticles and exposed for the next 6 days to 21% or 11% oxygen.","Three-month-old female Sprague-Dawley rats were maintained on ad libitum standard rat chow and tap water in a 10:14-h light-dark cycle and acclimatised before breeding. All protocols were approved by the University of Alberta Health Sciences Animal Policy and Welfare Committee, in accordance with the Canadian Council on Animal Care guidelines.","total RNA","Foetal blood was collected into EDTA-containing tubes, pooled per litter, and plasma was extracted. Placentae were isolated, placed into cell culture medium and incubated at 2, 8 or 21% oxygen for 24 h. Total RNA was extracted from 100 μl foetal plasma using the Qiagen miRNeasy Serum/Plasma Kit or from 200 μl conditioned media using the Qiagen miRNeasy Mini Kit.","biotin","Samples were labelled using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","10116","Samples were hybridised using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","Samples were analysed using the NanoString nCounter Analysis System (Gen2). See Gen2 Prep Station User Manual.","Plasma_NS_v_HS.txt; Plasma_HS_v_HM.txt","Raw output files were converted into lists of counts. To compare two groups, the respective raw counts were passed into RUVSeq for normalisation and removal of unwanted variation. Adjusted counts were then analysed for differential expression analysis using edgeR.","Normalised counts can be found in attached text files, instead of in the matrix table, as specified in the 'Description' column under the 'Samples' heading. Values are Reporter Probe signal intensities captured with the nCounter Analysis System and normalised using RUVSeq.","GPL19924","Hannah,,Scott","hs9350@my.bristol.ac.uk","UK Dementia Research Institute","Cardiff University","Hadyn Ellis Building, Maindy Road","Cardiff","CF24 4HQ","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2300nnn/GSM2300556/suppl/GSM2300556_Sample06.RCC.gz","0","E20","N/A","Saline","Hypoxia","Plasma",NA
"GSM2300557","Plasma_Hypoxia_Saline_rep3","GSM2300557","Public on Aug 22 2017","Sep 01 2016","Aug 23 2017","RNA","1","foetal plasma at E20, maternal hypoxia, maternal saline injection","Rattus norvegicus","foetal age: E20","tissue: Plasma","maternal oxygen status: Hypoxia","maternal injections: Saline","in vitro oxygen condition: N/A","On gestational day 15 of pregnancy the rats were injected ntravenously with saline or 125 μM MitoQ-nanoparticles and exposed for the next 6 days to 21% or 11% oxygen.","Three-month-old female Sprague-Dawley rats were maintained on ad libitum standard rat chow and tap water in a 10:14-h light-dark cycle and acclimatised before breeding. All protocols were approved by the University of Alberta Health Sciences Animal Policy and Welfare Committee, in accordance with the Canadian Council on Animal Care guidelines.","total RNA","Foetal blood was collected into EDTA-containing tubes, pooled per litter, and plasma was extracted. Placentae were isolated, placed into cell culture medium and incubated at 2, 8 or 21% oxygen for 24 h. Total RNA was extracted from 100 μl foetal plasma using the Qiagen miRNeasy Serum/Plasma Kit or from 200 μl conditioned media using the Qiagen miRNeasy Mini Kit.","biotin","Samples were labelled using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","10116","Samples were hybridised using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","Samples were analysed using the NanoString nCounter Analysis System (Gen2). See Gen2 Prep Station User Manual.","Plasma_NS_v_HS.txt; Plasma_HS_v_HM.txt","Raw output files were converted into lists of counts. To compare two groups, the respective raw counts were passed into RUVSeq for normalisation and removal of unwanted variation. Adjusted counts were then analysed for differential expression analysis using edgeR.","Normalised counts can be found in attached text files, instead of in the matrix table, as specified in the 'Description' column under the 'Samples' heading. Values are Reporter Probe signal intensities captured with the nCounter Analysis System and normalised using RUVSeq.","GPL19924","Hannah,,Scott","hs9350@my.bristol.ac.uk","UK Dementia Research Institute","Cardiff University","Hadyn Ellis Building, Maindy Road","Cardiff","CF24 4HQ","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2300nnn/GSM2300557/suppl/GSM2300557_Sample07.RCC.gz","0","E20","N/A","Saline","Hypoxia","Plasma",NA
"GSM2300558","Plasma_Normoxia_MitoQNP_rep1","GSM2300558","Public on Aug 22 2017","Sep 01 2016","Aug 23 2017","RNA","1","foetal plasma at E20, maternal normoxia, maternal MitoQ-nanoparticle injection","Rattus norvegicus","foetal age: E20","tissue: Plasma","maternal oxygen status: Normoxia","maternal injections: MitoQ-nanoparticles","in vitro oxygen condition: N/A","On gestational day 15 of pregnancy the rats were injected ntravenously with saline or 125 μM MitoQ-nanoparticles and exposed for the next 6 days to 21% or 11% oxygen.","Three-month-old female Sprague-Dawley rats were maintained on ad libitum standard rat chow and tap water in a 10:14-h light-dark cycle and acclimatised before breeding. All protocols were approved by the University of Alberta Health Sciences Animal Policy and Welfare Committee, in accordance with the Canadian Council on Animal Care guidelines.","total RNA","Foetal blood was collected into EDTA-containing tubes, pooled per litter, and plasma was extracted. Placentae were isolated, placed into cell culture medium and incubated at 2, 8 or 21% oxygen for 24 h. Total RNA was extracted from 100 μl foetal plasma using the Qiagen miRNeasy Serum/Plasma Kit or from 200 μl conditioned media using the Qiagen miRNeasy Mini Kit.","biotin","Samples were labelled using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","10116","Samples were hybridised using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","Samples were analysed using the NanoString nCounter Analysis System (Gen2). See Gen2 Prep Station User Manual.","Plasma_NS_v_NM.txt","Raw output files were converted into lists of counts. To compare two groups, the respective raw counts were passed into RUVSeq for normalisation and removal of unwanted variation. Adjusted counts were then analysed for differential expression analysis using edgeR.","Normalised counts can be found in attached text files, instead of in the matrix table, as specified in the 'Description' column under the 'Samples' heading. Values are Reporter Probe signal intensities captured with the nCounter Analysis System and normalised using RUVSeq.","GPL19924","Hannah,,Scott","hs9350@my.bristol.ac.uk","UK Dementia Research Institute","Cardiff University","Hadyn Ellis Building, Maindy Road","Cardiff","CF24 4HQ","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2300nnn/GSM2300558/suppl/GSM2300558_Sample08.RCC.gz","0","E20","N/A","MitoQ-nanoparticles","Normoxia","Plasma",NA
"GSM2300559","Plasma_Normoxia_MitoQNP_rep2","GSM2300559","Public on Aug 22 2017","Sep 01 2016","Aug 23 2017","RNA","1","foetal plasma at E20, maternal normoxia, maternal MitoQ-nanoparticle injection","Rattus norvegicus","foetal age: E20","tissue: Plasma","maternal oxygen status: Normoxia","maternal injections: MitoQ-nanoparticles","in vitro oxygen condition: N/A","On gestational day 15 of pregnancy the rats were injected ntravenously with saline or 125 μM MitoQ-nanoparticles and exposed for the next 6 days to 21% or 11% oxygen.","Three-month-old female Sprague-Dawley rats were maintained on ad libitum standard rat chow and tap water in a 10:14-h light-dark cycle and acclimatised before breeding. All protocols were approved by the University of Alberta Health Sciences Animal Policy and Welfare Committee, in accordance with the Canadian Council on Animal Care guidelines.","total RNA","Foetal blood was collected into EDTA-containing tubes, pooled per litter, and plasma was extracted. Placentae were isolated, placed into cell culture medium and incubated at 2, 8 or 21% oxygen for 24 h. Total RNA was extracted from 100 μl foetal plasma using the Qiagen miRNeasy Serum/Plasma Kit or from 200 μl conditioned media using the Qiagen miRNeasy Mini Kit.","biotin","Samples were labelled using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","10116","Samples were hybridised using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","Samples were analysed using the NanoString nCounter Analysis System (Gen2). See Gen2 Prep Station User Manual.","Plasma_NS_v_NM.txt","Raw output files were converted into lists of counts. To compare two groups, the respective raw counts were passed into RUVSeq for normalisation and removal of unwanted variation. Adjusted counts were then analysed for differential expression analysis using edgeR.","Normalised counts can be found in attached text files, instead of in the matrix table, as specified in the 'Description' column under the 'Samples' heading. Values are Reporter Probe signal intensities captured with the nCounter Analysis System and normalised using RUVSeq.","GPL19924","Hannah,,Scott","hs9350@my.bristol.ac.uk","UK Dementia Research Institute","Cardiff University","Hadyn Ellis Building, Maindy Road","Cardiff","CF24 4HQ","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2300nnn/GSM2300559/suppl/GSM2300559_Sample09.RCC.gz","0","E20","N/A","MitoQ-nanoparticles","Normoxia","Plasma",NA
"GSM2300560","Plasma_Normoxia_MitoQNP_rep3","GSM2300560","Public on Aug 22 2017","Sep 01 2016","Aug 23 2017","RNA","1","foetal plasma at E20, maternal normoxia, maternal MitoQ-nanoparticle injection","Rattus norvegicus","foetal age: E20","tissue: Plasma","maternal oxygen status: Normoxia","maternal injections: MitoQ-nanoparticles","in vitro oxygen condition: N/A","On gestational day 15 of pregnancy the rats were injected ntravenously with saline or 125 μM MitoQ-nanoparticles and exposed for the next 6 days to 21% or 11% oxygen.","Three-month-old female Sprague-Dawley rats were maintained on ad libitum standard rat chow and tap water in a 10:14-h light-dark cycle and acclimatised before breeding. All protocols were approved by the University of Alberta Health Sciences Animal Policy and Welfare Committee, in accordance with the Canadian Council on Animal Care guidelines.","total RNA","Foetal blood was collected into EDTA-containing tubes, pooled per litter, and plasma was extracted. Placentae were isolated, placed into cell culture medium and incubated at 2, 8 or 21% oxygen for 24 h. Total RNA was extracted from 100 μl foetal plasma using the Qiagen miRNeasy Serum/Plasma Kit or from 200 μl conditioned media using the Qiagen miRNeasy Mini Kit.","biotin","Samples were labelled using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","10116","Samples were hybridised using the NanoString nCounter rat miRNA Expression Assay kit. See nCounter miRNA Expression Assay User Manual for protocol.","Samples were analysed using the NanoString nCounter Analysis System (Gen2). See Gen2 Prep Station User Manual.","Plasma_NS_v_NM.txt","Raw output files were converted into lists of counts. To compare two groups, the respective raw counts were passed into RUVSeq for normalisation and removal of unwanted variation. Adjusted counts were then analysed for differential expression analysis using edgeR.","Normalised counts can be found in attached text files, instead of in the matrix table, as specified in the 'Description' column under the 'Samples' heading. Values are Reporter Probe signal intensities captured with the nCounter Analysis System and normalised using RUVSeq.","GPL19924","Hannah,,Scott","hs9350@my.bristol.ac.uk","UK Dementia Research Institute","Cardiff University","Hadyn Ellis Building, Maindy Road","Cardiff","CF24 4HQ","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2300nnn/GSM2300560/suppl/GSM2300560_Sample10.RCC.gz","0","E20","N/A","MitoQ-nanoparticles","Normoxia","Plasma",NA
